Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LogPPi	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
44	0.89041096	0.31237683	1.0	0.0	0.6	0.48989794	1.0	0.0	3.4246576	1.4	11000	0.75689036	0.25941768	1.3905482	-0.3216076	0.75684613	0.25997272	1.5218682	-0.32630938	5.9491405	-6.0	0.00161239	-0.78639793	0.0037504977	0.0035521311	-0.32645923	13321.92541718483
45	0.88	0.32496154	1.0	0.0	0.8	0.4	1.0	0.0	3.3333333	2.4	11250	0.75884336	0.26190528	1.5594755	-0.3506018	0.75890195	0.26199648	1.5934869	-0.3881125	6.0473614	-6.0	0.0016409032	-0.78916067	0.00331426	0.0033144366	0.305603	13631.532959461212
46	0.9183673	0.27380425	1.0	0.0	1.0	0.0	1.0	1.0	2.5306122	3.6	11500	0.7614185	0.25936967	1.5194855	-0.39811084	0.7613087	0.25851718	1.5759305	-0.3236882	6.0119796	-6.0	0.0016416332	-0.792969	0.0032373157	0.0035096223	0.07752069	13949.684614658356
47	0.8875	0.3159806	1.0	0.0	0.8	0.4	1.0	0.0	3.1375	3.2	11750	0.7658991	0.25799742	1.7077847	-0.3678527	0.7660349	0.25655466	1.8038665	-0.37525517	6.066259	-6.0	0.0016515243	-0.7967867	0.0028502531	0.0029838465	0.42366987	14248.814934968948
48	0.9	0.29999998	1.0	0.0	1.0	0.0	1.0	1.0	3.1	2.0	12000	0.7695636	0.25416037	1.8932498	-0.4145234	0.7694348	0.25373608	1.8601245	-0.39076683	6.0030117	-6.0	0.0017123554	-0.7968199	0.0032208075	0.0033374343	0.020088378	14541.445878744125
49	0.8888889	0.31426966	1.0	0.0	1.0	0.0	1.0	1.0	2.5353534	2.2	12250	0.7658844	0.26052585	1.6665069	-0.7249991	0.76587343	0.26095152	1.5675796	-0.5750573	5.906248	-6.0	0.0016697001	-0.7963457	0.0030055407	0.002836156	-0.5979916	14856.9087433815
50	0.8625	0.34437445	1.0	0.0	0.8	0.4	1.0	0.0	3.1375	2.8	12500	0.7740168	0.25178814	1.4012727	-0.46300635	0.7740963	0.25265947	1.6238256	-0.49457386	6.121418	-6.0	0.0016894765	-0.79991776	0.0032758317	0.0030764842	0.77528423	15176.339967489243
51	0.88095236	0.32384452	1.0	0.0	0.8	0.4	1.0	0.0	2.9285715	7.2	12750	0.773622	0.2513136	1.7175274	-0.3670395	0.7735453	0.25086775	1.7300608	-0.35480443	6.032165	-6.0	0.0017771332	-0.80042344	0.003100912	0.003196279	0.20387726	15490.436714172363
52	0.91358024	0.28098288	1.0	0.0	1.0	0.0	1.0	1.0	3.1234567	2.2	13000	0.77664495	0.24823757	1.8470035	-0.49071726	0.7766798	0.24843751	1.7672435	-0.46190456	5.956803	-6.0	0.0017724491	-0.801967	0.0030628128	0.003071886	-0.27243438	15784.651882648468
53	0.85555553	0.35153982	1.0	0.0	1.0	0.0	1.0	1.0	2.788889	2.0	13250	0.7774876	0.24673611	1.8803241	-0.3201526	0.77737087	0.24723226	1.8028265	-0.39366072	5.9453254	-6.0	0.0017333813	-0.8035832	0.0030491394	0.0030452746	-0.3468331	16091.3872859478
54	0.8153846	0.38798523	1.0	0.0	1.0	0.0	1.0	1.0	3.8615384	2.0	13500	0.77700365	0.24998997	1.733662	-0.43700385	0.7769629	0.25075892	1.7789807	-0.5849075	6.024718	-6.0	0.0016805964	-0.80353785	0.0032387606	0.00320599	0.15832277	16369.316847324371
55	0.9	0.29999998	1.0	0.0	0.8	0.40000004	1.0	0.0	3.025	2.6	13750	0.7742391	0.2517773	1.8592652	-0.40069234	0.77433056	0.25184324	1.7920363	-0.42068097	5.9799423	-6.0	0.0016990809	-0.7999066	0.0032361178	0.0031273656	-0.12715927	16687.564469575882
56	0.8988764	0.3014923	1.0	0.0	1.0	0.0	1.0	1.0	2.8876405	1.8	14000	0.7758083	0.25175074	1.5251117	-0.3629315	0.77577233	0.25190532	1.7478654	-0.5303486	5.974407	-6.0	0.0016253884	-0.8011328	0.0030210477	0.003285746	-0.16235952	16994.427782058716
57	0.8333333	0.37267798	1.0	0.0	1.0	0.0	1.0	1.0	2.9880953	2.2	14250	0.7762958	0.25082847	1.5788089	-0.3378216	0.77630514	0.25062066	1.6229595	-0.48204553	5.9438486	-6.0	0.001627928	-0.80112785	0.002814518	0.0027695985	-0.35995984	17295.91688156128
58	0.8989899	0.30134213	1.0	0.0	0.8	0.4	1.0	0.0	2.5151515	2.8	14500	0.77838624	0.2501587	1.904005	-0.41721654	0.77835596	0.2505456	1.9369152	-0.3257849	6.068507	-6.0	0.0016083408	-0.8026906	0.0027566315	0.0027455941	0.4405603	17616.235156297684
59	0.8924731	0.30978197	1.0	0.0	1.0	0.0	1.0	1.0	2.655914	2.0	14750	0.78329474	0.24284515	1.5244237	-0.4523793	0.78325605	0.24297488	1.4460264	-0.43715698	5.947123	-6.0	0.0016302874	-0.8045099	0.0034401263	0.0033325434	-0.3381991	17920.96364736557
60	0.9390244	0.23928556	1.0	0.0	1.0	0.0	1.0	1.0	3.0731707	2.4	15000	0.7811732	0.24616969	1.7853416	-0.39583954	0.7812346	0.24706519	1.7385392	-0.39791387	6.0227714	-6.0	0.0016045687	-0.80580664	0.0031827304	0.0028889643	0.1469856	18238.234315156937
61	0.86764705	0.33887407	1.0	0.0	1.0	0.0	1.0	1.0	3.6470587	2.0	15250	0.78088015	0.24510238	1.727806	-0.5771649	0.78094566	0.2451113	1.7199992	-0.39395455	6.0800858	-6.0	0.0016703774	-0.80507237	0.0031004844	0.0029684338	0.5119077	18519.25995373726
62	0.94505495	0.22787298	1.0	0.0	0.6	0.48989794	1.0	0.0	2.7692308	4.4	15500	0.78472805	0.24072173	1.7358837	-0.45907584	0.7846693	0.24221767	1.740485	-0.34520823	5.8936577	-6.0	0.0017047349	-0.80799425	0.0031755404	0.0028962498	-0.6787472	18835.251264095306
63	0.9480519	0.22192219	1.0	0.0	0.8	0.4	1.0	0.0	3.2727273	3.6	15750	0.7839945	0.24734226	1.7519839	-0.56960994	0.7840196	0.24658886	1.7379326	-0.6180548	6.0416255	-6.0	0.0016507003	-0.81071144	0.0025790678	0.0027202454	0.26798123	19131.476534605026
64	0.9268293	0.26041654	1.0	0.0	0.6	0.48989794	1.0	0.0	3.0243902	1.4	16000	0.7936797	0.23969065	1.4477711	-0.47509262	0.7937184	0.24029489	1.480388	-0.3640837	6.0233936	-6.0	0.0016577851	-0.81920385	0.0024928097	0.0022610999	0.15032637	19428.266849040985
65	0.875	0.3307189	1.0	0.0	1.0	0.0	1.0	1.0	2.6041667	3.0	16250	0.79648846	0.23514764	1.4360268	-0.44908166	0.7964495	0.2355	1.3461839	-0.39776433	6.100171	-6.0	0.0017279133	-0.82267445	0.0026425722	0.002702313	0.63632137	19767.402620077133
66	0.9247312	0.2638246	1.0	0.0	1.0	0.0	1.0	1.0	2.655914	1.8	16500	0.7987164	0.23301558	1.3415257	-0.5660044	0.79890406	0.23221952	1.3726646	-0.42838132	5.9843655	-6.0	0.001829973	-0.82510424	0.0028255414	0.002668864	-0.09815166	20071.86477994919
67	0.8607595	0.34619737	1.0	0.0	1.0	0.0	1.0	1.0	3.227848	7.0	16750	0.7966137	0.23587921	1.6498889	-0.4693048	0.7965886	0.23646025	1.6296021	-0.4287055	5.945161	-6.0	0.0017449479	-0.82349414	0.0028870907	0.002804201	-0.3465639	20383.418405771255
68	0.9125	0.28256634	1.0	0.0	1.0	0.0	1.0	1.0	3.1	4.4	17000	0.8024164	0.23074116	1.6562293	-0.5410811	0.8025063	0.23164584	1.6487076	-0.3929158	6.0513625	-6.0	0.0017727044	-0.8278805	0.0029237298	0.0025985478	0.32621974	20686.08965086937
