Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	PiEntropy	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
53	0.97727275	0.1490327	1.0	0.0	0.8	0.4	1.0	0.0	5.75	6.2	13250	0.30825108	0.3222534	1.439604	-0.16997483	0.30821484	0.32218966	1.4344862	-0.21025461	0.16070744	0.16094379	0.009437935	-0.3518502	0.00059043756	0.00058871316	0.0011399259	535.3411934375763
54	0.9591837	0.19786449	1.0	0.0	0.9	0.29999998	1.0	0.0	5.0	6.5	13500	0.3099321	0.32324386	1.3096706	-0.15422086	0.30999598	0.32324103	1.3208623	-0.16743344	0.16057211	0.16094379	0.009364588	-0.35353893	0.00059128547	0.00060279906	0.0017585931	545.2549450397491
55	0.8863636	0.3173691	1.0	0.0	0.85	0.35707143	1.0	0.0	5.7045455	7.7	13750	0.3084775	0.3218482	1.5214654	-0.1566996	0.30840966	0.32186583	1.5040635	-0.12565994	0.15920228	0.16094379	0.009409463	-0.3523701	0.00062284217	0.00063033507	0.008143249	555.3659865856171
56	0.88372093	0.32055926	1.0	0.0	0.9	0.29999998	1.0	0.0	5.837209	5.0	14000	0.30712903	0.322037	1.3571495	-0.24340723	0.30718848	0.32201576	1.3433414	-0.22644442	0.16273926	0.16094379	0.009505139	-0.3491958	0.0006175647	0.00061960943	-0.008344787	564.8965148925781
57	0.8888889	0.3142697	1.0	0.0	1.0	0.0	1.0	1.0	5.6444445	5.05	14250	0.31320393	0.32585818	1.326604	-0.19587854	0.3131892	0.3257575	1.342952	-0.28464097	0.16945206	0.16094379	0.008958143	-0.35325682	0.00060323876	0.00062291865	-0.04007466	574.3395149707794
58	0.9459459	0.22612432	1.0	0.0	0.95	0.21794493	1.0	0.0	6.783784	5.35	14500	0.31145045	0.32493824	1.2238755	-0.15308651	0.311436	0.32498983	1.2397017	-0.1529845	0.16568631	0.16094379	0.008259426	-0.35192767	0.0007382132	0.0007180402	-0.022660526	583.8911769390106
59	0.875	0.3307189	1.0	0.0	0.95	0.21794493	1.0	0.0	5.2291665	5.75	14750	0.31066877	0.3235473	1.1786708	-0.11262135	0.3106573	0.3235642	1.188565	-0.13296947	0.15841445	0.16094379	0.008267698	-0.35112303	0.0006559596	0.00064498413	0.012153042	593.4297494888306
60	0.9791667	0.14282614	1.0	0.0	0.95	0.21794493	1.0	0.0	5.1875	5.35	15000	0.31041887	0.32377124	1.3295088	-0.16038263	0.31039852	0.32388973	1.3343673	-0.13724533	0.15661734	0.16094379	0.008592253	-0.35217187	0.0006515709	0.00064688304	0.020620685	603.1078584194183
61	0.95454544	0.20829889	1.0	0.0	0.85	0.35707143	1.0	0.0	5.6363635	3.9	15250	0.31242362	0.32446873	1.1998718	-0.112284616	0.31241974	0.32442364	1.2460849	-0.11566182	0.15627825	0.16094379	0.009017661	-0.35091943	0.0006342548	0.00063702714	0.022019314	612.3434066772461
62	0.95454544	0.2082989	1.0	0.0	0.95	0.21794493	1.0	0.0	5.7272725	3.85	15500	0.31549585	0.32588807	1.3201742	-0.1161455	0.31551337	0.32585022	1.3072748	-0.113859296	0.15558882	0.16094379	0.009614052	-0.3551755	0.0005600201	0.00056562433	0.025000889	621.7198979854584
63	0.8947368	0.3068922	1.0	0.0	0.95	0.21794493	1.0	0.0	6.5526314	5.3	15750	0.31762964	0.32766423	1.4650078	-0.115467705	0.3176884	0.32770962	1.4783103	-0.104561694	0.153703	0.16094379	0.010216791	-0.35621735	0.0006056303	0.00059459556	0.033302452	631.3311898708344
64	0.8	0.4	1.0	0.0	0.95	0.21794495	1.0	0.0	5.577778	5.55	16000	0.32042277	0.32682213	1.1536663	-0.18432316	0.32036707	0.32685006	1.1396261	-0.16671324	0.16128796	0.16094379	0.010640987	-0.35816023	0.0005585605	0.00054751185	-0.0015344849	640.9297525882721
65	0.8863636	0.3173691	1.0	0.0	0.95	0.21794495	1.0	0.0	5.659091	6.2	16250	0.31880206	0.32678345	1.346805	-0.17034668	0.31881806	0.3267619	1.3493751	-0.1098403	0.16508923	0.16094379	0.010042548	-0.35623536	0.00059461227	0.0005908458	-0.018955613	650.6432678699493
66	0.9047619	0.29354352	1.0	0.0	0.95	0.21794495	1.0	0.0	5.952381	4.2	16500	0.31674173	0.32398176	1.2899278	-0.1800011	0.31676432	0.32410464	1.2633747	-0.19732441	0.16088288	0.16094379	0.010036844	-0.3548447	0.00063654804	0.0006259507	0.00029998875	659.943398475647
67	0.9574468	0.20184751	1.0	0.0	1.0	0.0	1.0	1.0	5.191489	5.25	16750	0.31985745	0.32716954	1.2488399	-0.14903387	0.31977695	0.3271014	1.2290275	-0.14173615	0.15705909	0.16094379	0.01023756	-0.35825586	0.0005688901	0.0005528597	0.017824417	669.5330493450165
68	0.9148936	0.27903995	1.0	0.0	0.8	0.4	1.0	0.0	5.4468083	9.0	17000	0.32442316	0.32967296	1.3503326	-0.119693436	0.324529	0.32971358	1.3313991	-0.1169079	0.16419467	0.16094379	0.010351563	-0.35922858	0.0006333485	0.00061569223	-0.014849973	679.9306042194366
69	0.9230769	0.26646933	1.0	0.0	1.0	0.0	1.0	1.0	6.25641	5.5	17250	0.3195077	0.32566497	1.3991592	-0.18227349	0.31940544	0.32578027	1.451698	-0.30241248	0.1646695	0.16094379	0.0099454	-0.35775676	0.0005746568	0.00055697525	-0.017165408	689.5876019001007
70	0.85365856	0.3534482	1.0	0.0	0.95	0.21794493	1.0	0.0	6.292683	5.1	17500	0.32041657	0.3294627	1.435806	-0.102241084	0.32042882	0.32942104	1.4215902	-0.17517993	0.1623898	0.16094379	0.009703615	-0.35616288	0.0005391628	0.0005413054	-0.006659657	699.1497776508331
71	0.9285714	0.2575394	1.0	0.0	0.95	0.21794493	1.0	0.0	5.952381	6.75	17750	0.3199269	0.32578316	1.2810849	-0.13238467	0.31990284	0.32577538	1.2614293	-0.13597357	0.15825324	0.16094379	0.009603507	-0.35603535	0.0005899465	0.00059172144	0.012494694	708.8582928180695
72	0.9148936	0.27903992	1.0	0.0	0.9	0.29999998	1.0	0.0	5.2340426	5.25	18000	0.321325	0.32948583	1.4807692	-0.1650462	0.32139573	0.3294219	1.480046	-0.11135494	0.15730497	0.16094379	0.010078682	-0.35755965	0.0005722674	0.0005577897	0.016766775	718.5149149894714
73	0.95555556	0.2060804	1.0	0.0	0.95	0.21794493	1.0	0.0	5.3555555	6.25	18250	0.32633635	0.32984692	1.2612784	-0.19132024	0.32630405	0.32993737	1.2513406	-0.14003181	0.16078678	0.16094379	0.010281397	-0.36059955	0.00056678645	0.0005591766	0.00074056815	728.2357006072998
74	0.9361702	0.24444951	1.0	0.0	0.95	0.21794495	1.0	0.0	5.4680853	7.2	18500	0.31861004	0.3285693	1.3821348	-0.084563345	0.3186653	0.32864398	1.4545971	-0.10600422	0.16409634	0.16094379	0.010013675	-0.35427004	0.0005634137	0.0005657056	-0.014464133	738.2537088394165
75	1.0	0.0	1.0	1.0	0.85	0.35707143	1.0	0.0	5.75	7.4	18750	0.3202472	0.32679802	1.2864525	-0.11053054	0.32022685	0.3266613	1.2459265	-0.11071189	0.16276109	0.16094379	0.009967631	-0.35482475	0.00058988575	0.0005912794	-0.008363331	748.1393678188324
76	0.97619045	0.15245534	1.0	0.0	0.95	0.21794493	1.0	0.0	5.9761906	5.45	19000	0.32532704	0.33193818	1.2691483	-0.14510015	0.325294	0.33195293	1.2389022	-0.092167854	0.16579153	0.16094379	0.009536368	-0.35823706	0.00055244385	0.00056614063	-0.022529354	757.6552941799164
77	0.9782609	0.14583053	1.0	0.0	1.0	0.0	1.0	1.0	5.478261	5.9	19250	0.32107908	0.32769802	1.4409494	-0.121042505	0.32111144	0.3276525	1.423322	-0.12462486	0.1570242	0.16094379	0.0094580725	-0.35615888	0.00054003	0.00052985636	0.018288841	767.3302149772644
78	0.975	0.15612495	1.0	0.0	0.8	0.4	1.0	0.0	6.05	6.35	19500	0.32333714	0.3285645	1.3799593	-0.11998375	0.3232818	0.3286452	1.4108148	-0.1418956	0.15864614	0.16094379	0.00980073	-0.35578588	0.000565225	0.00057238527	0.010662028	777.0246078968048
79	0.902439	0.29672012	1.0	0.0	0.95	0.21794495	1.0	0.0	6.219512	6.05	19750	0.32609925	0.330083	1.231897	-0.098721646	0.3260926	0.33007285	1.2430903	-0.09793208	0.16084577	0.16094379	0.0099947695	-0.35873768	0.0005214822	0.0005382477	0.00048180722	786.6434178352356
80	0.9318182	0.25205764	1.0	0.0	0.9	0.29999998	1.0	0.0	5.5227275	5.15	20000	0.32592285	0.3318214	1.4623477	-0.14171205	0.32591859	0.3317959	1.4612936	-0.12458028	0.15971127	0.16094379	0.010092659	-0.36039874	0.0005868474	0.00058873446	0.0057178643	796.1854622364044
81	0.9318182	0.2520576	1.0	0.0	1.0	0.0	1.0	1.0	5.8863635	4.9	20250	0.3224665	0.3277171	1.4382658	-0.10841662	0.3224682	0.3277388	1.4479262	-0.10930367	0.16497496	0.16094379	0.009868094	-0.35527977	0.00053471944	0.00053497124	-0.01860912	805.783741235733
82	0.9777778	0.14740555	1.0	0.0	0.95	0.21794493	1.0	0.0	5.5333333	3.95	20500	0.3228241	0.32705206	1.4842012	-0.09805624	0.3228242	0.32707486	1.4786477	-0.14525862	0.1650116	0.16094379	0.009398341	-0.35442898	0.00057291903	0.0005676465	-0.0189455	815.1982975006104
83	1.0	0.0	1.0	1.0	0.9	0.29999998	1.0	0.0	5.604651	6.25	20750	0.3198227	0.327459	1.3784746	-0.096450225	0.3198729	0.32746163	1.3454894	-0.08893937	0.16489886	0.16094379	0.009048851	-0.35152137	0.0005956667	0.0005624311	-0.01858281	825.1584239006042
84	0.96	0.1959592	1.0	0.0	0.85	0.35707143	1.0	0.0	5.22	6.8	21000	0.32372114	0.32739085	1.4255284	-0.14483047	0.32370332	0.32734126	1.4860543	-0.18053538	0.15762973	0.16094379	0.008919499	-0.35472545	0.0006024797	0.0005991237	0.015628638	835.1712515354156
