Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossQ	Actor Noise	Time
71	0.92	0.27129322	1.0	0.0	0.8	0.4	1.0	0.0	5.12	5.4	17750	3.5438871	6.3666115	1.8251278	-0.33906603	0.00018267492	0.1	21683.16615843773
72	0.9512195	0.2154088	1.0	0.0	1.0	0.0	1.0	1.0	6.0	7.8	18000	3.541125	6.361886	1.7440562	-0.35000107	0.00016563883	0.1	22000.81388092041
73	0.90909094	0.2874798	1.0	0.0	1.0	0.0	1.0	1.0	7.4242425	4.6	18250	3.5463655	6.3716087	1.7643509	-0.35086566	0.00016086164	0.1	22296.238743782043
74	0.8913044	0.31125695	1.0	0.0	1.0	0.0	1.0	1.0	5.630435	5.6	18500	3.553781	6.3846726	1.801694	-0.36987162	0.00017077109	0.1	22609.078917503357
75	0.8958333	0.30547664	1.0	0.0	1.0	0.0	1.0	1.0	5.125	3.6	18750	3.5600312	6.395721	1.7818956	-0.37251136	0.00017476045	0.1	22921.33511209488
76	0.9318182	0.2520576	1.0	0.0	1.0	0.0	1.0	1.0	5.7954545	6.0	19000	3.564126	6.40317	1.7256899	-0.34451026	0.00016442605	0.1	23236.73505282402
77	0.8863636	0.3173691	1.0	0.0	0.8	0.4	1.0	0.0	5.681818	6.4	19250	3.5660799	6.40714	1.7696351	-0.36780128	0.0001887948	0.1	23549.471262931824
78	0.93333334	0.2494438	1.0	0.0	0.8	0.40000004	1.0	0.0	5.5111113	7.6	19500	3.5512042	6.3807364	1.8053579	-0.35532975	0.0001581085	0.1	23870.53510451317
79	0.88372093	0.3205593	1.0	0.0	0.8	0.4	1.0	0.0	5.744186	6.4	19750	3.5278678	6.33879	1.8931234	-0.37689292	0.00016250813	0.1	24183.95113825798
80	0.9705882	0.16895773	1.0	0.0	1.0	0.0	1.0	1.0	7.5	4.8	20000	3.5083866	6.303991	1.9393979	-0.39884943	0.00017713768	0.1	24481.00003886223
81	0.88095236	0.32384452	1.0	0.0	1.0	0.0	1.0	1.0	5.8333335	6.6	20250	3.5112088	6.3090725	1.8040383	-0.38418576	0.00019623985	0.1	24795.52015733719
82	0.8648649	0.34186783	1.0	0.0	1.0	0.0	1.0	1.0	6.810811	6.6	20500	3.5144422	6.3147974	1.8805814	-0.3642589	0.0001634501	0.1	25095.88136768341
83	0.88095236	0.32384452	1.0	0.0	1.0	0.0	1.0	1.0	5.9761906	5.6	20750	3.5117474	6.3102136	1.6023761	-0.45019245	0.00017311137	0.1	25406.113141298294
84	0.875	0.3307189	1.0	0.0	1.0	0.0	1.0	1.0	6.2	6.0	21000	3.5186982	6.323085	1.718684	-0.4915354	0.00019005683	0.1	25711.585982322693
85	0.902439	0.29672012	1.0	0.0	0.8	0.40000004	1.0	0.0	6.121951	8.2	21250	3.5433655	6.36684	1.8962886	-0.36374992	0.00016777923	0.1	26029.7935090065
86	0.95	0.21794495	1.0	0.0	1.0	0.0	1.0	1.0	6.275	5.8	21500	3.5553682	6.3885117	1.7921259	-0.39528045	0.00016133007	0.1	26339.10559439659
87	0.9285714	0.25753936	1.0	0.0	1.0	0.0	1.0	1.0	6.0	4.6	21750	3.5498688	6.378405	1.9100121	-0.38512856	0.00017473102	0.1	26642.658275842667
88	0.825	0.3799671	1.0	0.0	0.8	0.40000004	1.0	0.0	6.125	8.2	22000	3.5416548	6.36425	1.8247366	-0.39186692	0.00016113555	0.1	26960.770069360733
89	0.85365856	0.3534482	1.0	0.0	0.8	0.4	1.0	0.0	6.121951	10.0	22250	3.5452747	6.370847	1.6552079	-0.40705186	0.0001879704	0.1	27287.60953783989
90	0.95348835	0.21059036	1.0	0.0	0.8	0.4	1.0	0.0	5.860465	10.8	22500	3.5791662	6.4317055	1.8340604	-0.34365416	0.00018456744	0.1	27613.433372974396
91	0.92105263	0.2696566	1.0	0.0	1.0	0.0	1.0	1.0	6.0	5.8	22750	3.5817578	6.4361105	1.8787951	-0.37878478	0.00017742997	0.1	27915.84941792488
92	0.8043478	0.39670193	1.0	0.0	1.0	0.0	1.0	1.0	5.847826	3.8	23000	3.5768783	6.4280114	1.8272076	-0.37575442	0.00016998088	0.1	28221.170301437378
93	0.8888889	0.3142697	1.0	0.0	1.0	0.0	1.0	1.0	5.6	6.4	23250	3.5542934	6.387141	1.8890028	-0.37315848	0.00014850755	0.1	28538.08973145485
94	0.8780488	0.32722944	1.0	0.0	1.0	0.0	1.0	1.0	6.0	4.8	23500	3.5415952	6.364406	1.830663	-0.3937434	0.00015199489	0.1	28839.178382396698
95	0.9230769	0.26646933	1.0	0.0	1.0	0.0	1.0	1.0	6.4358974	7.0	23750	3.5372713	6.3567986	1.8181417	-0.40296954	0.00013987311	0.1	29147.7784409523
96	0.97619045	0.15245534	1.0	0.0	1.0	0.0	1.0	1.0	6.071429	5.8	24000	3.5384061	6.35863	1.6784734	-0.3611877	0.00014429988	0.1	29462.602654218674
97	0.9166667	0.2763854	1.0	0.0	1.0	0.0	1.0	1.0	6.861111	3.8	24250	3.5290487	6.3427305	1.7557836	-0.41734117	0.00022104586	0.1	29758.027349233627
98	1.0	0.0	1.0	1.0	0.8	0.4	1.0	0.0	5.883721	6.8	24500	3.541316	6.3645825	1.922329	-0.33354723	0.00017938302	0.1	30075.54705095291
99	0.9189189	0.2729596	1.0	0.0	1.0	0.0	1.0	1.0	6.675676	6.8	24750	3.5630298	6.4034543	1.8411976	-0.37829006	0.00017090324	0.1	30390.195063829422
100	0.9736842	0.1600727	1.0	0.0	1.0	0.0	1.0	1.0	6.631579	6.0	25000	3.5658035	6.4081087	1.7003573	-0.40205365	0.00015053907	0.1	30690.79572749138
