Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LogPPi	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
66	0.9929078	0.08391603	1.0	0.0	1.0	0.0	1.0	1.0	1.7659575	1.6	16500	0.8858682	0.15140651	1.1019948	-0.36916584	0.8859287	0.15182528	1.1207663	-0.2309311	5.9488683	-6.0	0.0005687256	-0.92356616	0.00088157906	0.00076217606	-0.3808338	988.3898363113403
67	0.9862069	0.11663128	1.0	0.0	0.9	0.29999998	1.0	0.0	1.7310345	1.85	16750	0.88706386	0.15066244	1.1226043	-0.32831946	0.88707274	0.15207095	1.0921928	-0.26906085	6.141076	-6.0	0.0005900426	-0.92297983	0.0010866704	0.00085352245	1.0489641	1000.9778747558594
68	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.6025641	1.65	17000	0.8900145	0.15055251	1.1729417	-0.27188215	0.8900673	0.14969681	1.1788714	-0.28206414	5.8859034	-6.0	0.00061603304	-0.92519957	0.0008804596	0.0009313095	-0.8433662	1013.7302711009979
69	0.97887325	0.14380687	1.0	0.0	1.0	0.0	1.0	1.0	1.7464789	2.05	17250	0.8939646	0.14813721	1.0795689	-0.2269122	0.893935	0.14752324	1.1944184	-0.31518987	6.047369	-6.0	0.00060577097	-0.92962325	0.0006100033	0.0007899268	0.35303584	1026.089839220047
70	0.9933775	0.081108935	1.0	0.0	1.0	0.0	1.0	1.0	1.6688741	1.45	17500	0.8943522	0.14611314	1.0924039	-0.21721798	0.8943754	0.14503136	1.1092975	-0.29823098	6.0017457	-6.0	0.00060475816	-0.9276908	0.0006777239	0.00080328993	0.014247254	1038.6107769012451
71	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.633987	1.65	17750	0.8944214	0.14835069	1.0995538	-0.28846338	0.894457	0.14874507	1.1136341	-0.35786018	6.014997	-6.0	0.000599025	-0.93008447	0.0006020051	0.0005603663	0.11187414	1050.9878346920013
72	0.98675495	0.11432235	1.0	0.0	1.0	0.0	1.0	1.0	1.6490066	1.9	18000	0.89372176	0.14549845	1.1680427	-0.32571393	0.8937477	0.14789325	1.0782847	-0.30048776	5.967454	-6.0	0.0006000503	-0.92707634	0.0011008625	0.0006994281	-0.24054852	1063.5512211322784
73	0.99285716	0.08421305	1.0	0.0	0.95	0.21794493	1.0	0.0	1.7928572	1.85	18250	0.89705384	0.13930994	1.0915841	-0.27102897	0.8970993	0.13957338	1.0897725	-0.30909452	5.9700665	-6.0	0.0005804112	-0.92918086	0.0007816126	0.0007208456	-0.22248687	1076.030692577362
74	0.97931033	0.14234322	1.0	0.0	1.0	0.0	1.0	1.0	1.7172414	1.35	18500	0.8935426	0.14552315	1.1396958	-0.30163592	0.89354116	0.1454862	1.1075109	-0.24277872	6.01516	-6.0	0.0005834335	-0.9259299	0.0009961564	0.00097421755	0.11392711	1088.848893404007
75	0.98675495	0.11432235	1.0	0.0	1.0	0.0	1.0	1.0	1.6622517	1.6	18750	0.8911735	0.14771561	1.1002069	-0.35091487	0.8911099	0.1484399	1.1326137	-0.22497198	5.9961414	-6.0	0.00058593246	-0.9245722	0.0009036051	0.00085030036	-0.02820186	1101.4492018222809
76	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.633987	1.7	19000	0.89511466	0.14776419	1.1915311	-0.29958373	0.89518344	0.14741032	1.1897111	-0.36773187	6.049786	-6.0	0.00058054633	-0.9282085	0.00075282337	0.00078030204	0.37106544	1114.1387419700623
77	0.9868421	0.113950714	1.0	0.0	1.0	0.0	1.0	1.0	1.6447369	1.65	19250	0.89826286	0.14669429	1.0919542	-0.3591719	0.89827096	0.14702234	1.0885373	-0.3684715	6.1141353	-6.0	0.0006274012	-0.9314044	0.0006282092	0.0005946968	0.8394109	1126.6330635547638
78	0.9933775	0.081108935	1.0	0.0	1.0	0.0	1.0	1.0	1.6490066	1.5	19500	0.9003769	0.14475025	1.2162902	-0.25369352	0.90035397	0.14416793	1.1334153	-0.2637679	5.956233	-6.0	0.0006692017	-0.9332278	0.00066685287	0.00072688307	-0.3185834	1139.1620965003967
79	0.98	0.14	1.0	0.0	1.0	0.0	1.0	1.0	1.6666666	1.85	19750	0.90082556	0.14017074	1.1089307	-0.35966498	0.9007932	0.13969435	1.1046455	-0.3248618	5.921956	-6.0	0.0006230392	-0.93115425	0.0007568707	0.0008488134	-0.57404727	1151.7530150413513
80	0.9869281	0.11358266	1.0	0.0	1.0	0.0	1.0	1.0	1.633987	1.85	20000	0.9020643	0.14190882	1.1698564	-0.26973695	0.9021305	0.14184238	1.0812495	-0.27591273	6.0579357	-6.0	0.0006414998	-0.9338506	0.0007180459	0.0006849114	0.4285048	1164.5657887458801
81	0.9807692	0.13733517	1.0	0.0	1.0	0.0	1.0	1.0	1.6089743	1.65	20250	0.9020737	0.14265756	1.1025279	-0.5398617	0.902084	0.14328772	1.0686078	-0.39517385	5.8315105	-6.0	0.00061634794	-0.9328188	0.00067114783	0.0005922928	-1.2506442	1177.4425930976868
82	0.99310344	0.08275862	1.0	0.0	1.0	0.0	1.0	1.0	1.7241379	2.1	20500	0.90221214	0.1416985	1.0877769	-0.22796294	0.9022347	0.14190516	1.1103859	-0.39405537	6.0863166	-6.0	0.00054372026	-0.93311733	0.00086504046	0.00082333427	0.6465891	1190.0247230529785
83	0.9935484	0.08006241	1.0	0.0	1.0	0.0	1.0	1.0	1.6129032	1.45	20750	0.90624547	0.13993905	1.0965219	-0.26357794	0.90626997	0.13962634	1.0726745	-0.29052988	6.0127234	-6.0	0.00059648615	-0.93711656	0.0004945809	0.00051721657	0.095655456	1202.75372838974
84	1.0	0.0	1.0	1.0	0.9	0.29999998	1.0	0.0	1.6025641	1.5	21000	0.9061177	0.13853098	1.2299948	-0.26805773	0.90613806	0.13735656	1.0999908	-0.2122451	5.9502344	-6.0	0.00060071086	-0.9346981	0.0006195009	0.0007252907	-0.36964887	1215.3058459758759
85	0.9932886	0.08164782	1.0	0.0	1.0	0.0	1.0	1.0	1.6778524	1.5	21250	0.90425795	0.14370824	1.092408	-0.26855052	0.90422034	0.14456315	1.1686064	-0.2952962	5.9985743	-6.0	0.00055339513	-0.93350905	0.0007746667	0.0007133287	-0.009731903	1227.722707748413
86	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.6666666	1.45	21500	0.9054355	0.14176346	1.1017551	-0.30959266	0.90553725	0.14288267	1.1081271	-0.33598328	6.055535	-6.0	0.0005933044	-0.934617	0.0009436629	0.00077647634	0.41465458	1240.468853712082
