Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossPi	LossQ	Actor Noise	Time
90	0.2680851	0.44296214	1.0	0.0	0.25	0.4330127	1.0	0.0	1.0638298	1.0	22500	0.5588297	0.55881613	-0.54523396	0.002732211	0.05	704.9739730358124
91	0.25652173	0.4367131	1.0	0.0	0.15	0.35707143	1.0	0.0	1.0869565	1.05	22750	0.5667338	0.56673384	-0.53521883	0.003471866	0.05	712.2131090164185
92	0.27510917	0.44656926	1.0	0.0	0.5	0.5	1.0	0.0	1.091703	1.0	23000	0.5694929	0.5694998	-0.54194957	0.002889903	0.05	720.7522165775299
93	0.24017467	0.42718944	1.0	0.0	0.2	0.4	1.0	0.0	1.091703	1.05	23250	0.56361735	0.5635555	-0.5424447	0.0028207183	0.05	728.1691091060638
94	0.25108224	0.43363574	1.0	0.0	0.4	0.48989797	1.0	0.0	1.0822511	1.05	23500	0.5680608	0.56807905	-0.54070395	0.0023704036	0.05	736.679468870163
95	0.25108224	0.43363574	1.0	0.0	0.2	0.4	1.0	0.0	1.0822511	1.15	23750	0.5719777	0.57211286	-0.5469008	0.0038258284	0.05	744.0271105766296
96	0.18584071	0.3889781	1.0	0.0	0.35	0.4769696	1.0	0.0	1.1061947	1.15	24000	0.5698822	0.56982607	-0.5482835	0.0030448094	0.05	752.4369115829468
97	0.2236842	0.41671285	1.0	0.0	0.3	0.45825756	1.0	0.0	1.0964912	1.0	24250	0.5723218	0.57229877	-0.54262304	0.0033432448	0.05	759.810268163681
98	0.25751072	0.437263	1.0	0.0	0.15	0.35707143	1.0	0.0	1.0729613	1.0	24500	0.566566	0.56654847	-0.5517146	0.0027297565	0.05	768.2851226329803
99	0.23076923	0.42132506	1.0	0.0	0.2	0.4	1.0	0.0	1.0683761	1.05	24750	0.56479174	0.56483537	-0.5457222	0.0025436466	0.05	775.5239732265472
